country,year,gdp,co2,coal_co2,oil_co2,gas_co2,cement_co2,flaring_co2,co2_per_capita,co2_per_gdp,share_global_co2,methane_per_capita,nitrous_oxide_per_capita,total_ghg_excluding_lucf,total_ghg,temperature_change_from_co2
Afghanistan,2000,11283793920.0,1.047,0.004,0.788,0.224,0.01,0.022,0.052,0.093,0.004,0.578,0.16,4.521,16.955,0.0
Afghanistan,2001,11021273088.0,1.069,0.07,0.762,0.209,0.007,0.022,0.053,0.097,0.004,0.511,0.141,4.67,15.772,0.0
Afghanistan,2002,18804871168.0,1.341,0.055,0.727,0.547,0.011,0.0,0.063,0.071,0.005,0.583,0.154,5.132,20.735,0.0
Afghanistan,2003,21074343936.0,1.56,0.092,0.992,0.466,0.01,0.0,0.069,0.074,0.006,0.566,0.151,5.521,21.423,0.0
Afghanistan,2004,22332569600.0,1.237,0.092,0.909,0.227,0.01,0.0,0.053,0.055,0.004,0.548,0.145,5.354,20.057,0.0
Afghanistan,2005,25397686272.0,1.89,0.106,1.447,0.33,0.006,0.0,0.077,0.074,0.006,0.544,0.146,6.204,20.766,0.0
Afghanistan,2006,28704399360.0,2.159,0.161,1.657,0.329,0.012,0.0,0.085,0.075,0.007,0.534,0.134,6.61,21.007,0.0
Afghanistan,2007,34507530240.0,2.8,0.747,1.733,0.308,0.012,0.0,0.108,0.081,0.009,0.539,0.13,7.52,21.89,0.0
Afghanistan,2008,36561043456.0,4.254,1.078,2.864,0.297,0.015,0.0,0.161,0.116,0.013,0.576,0.138,9.212,24.754,0.0
Afghanistan,2009,44358721536.0,6.392,1.514,4.594,0.271,0.013,0.0,0.233,0.144,0.02,0.57,0.144,11.604,27.462,0.0
Afghanistan,2010,47399424000.0,8.365,2.246,5.833,0.271,0.015,0.0,0.296,0.176,0.025,0.624,0.155,13.947,31.581,0.0
Afghanistan,2011,53326336000.0,11.838,4.181,7.335,0.308,0.015,0.0,0.403,0.222,0.034,0.62,0.154,18.008,35.634,0.0
Afghanistan,2012,59166900224.0,10.035,3.125,6.573,0.308,0.029,0.0,0.328,0.17,0.029,0.592,0.148,16.252,33.622,0.0
Afghanistan,2013,62993698816.0,9.229,3.303,5.593,0.297,0.036,0.0,0.292,0.146,0.026,0.576,0.144,15.655,32.971,0.0
Afghanistan,2014,64346107904.0,9.086,3.621,5.165,0.271,0.029,0.0,0.277,0.141,0.026,0.57,0.147,15.756,33.681,0.001
Afghanistan,2015,62783393792.0,9.67,2.722,6.625,0.282,0.041,0.0,0.286,0.154,0.027,0.533,0.142,16.421,33.569,0.001
Afghanistan,2016,64372215808.0,8.906,2.718,5.794,0.319,0.076,0.0,0.257,0.138,0.025,0.522,0.137,15.959,33.088,0.001
Afghanistan,2017,65169281024.0,9.677,3.257,6.075,0.3,0.045,0.0,0.271,0.148,0.027,0.509,0.139,17.134,36.574,0.001
Afghanistan,2018,65996738560.0,10.602,3.633,6.619,0.293,0.057,0.0,0.289,0.161,0.029,0.51,0.133,18.331,36.748,0.001
Afghanistan,2019,73085706240.0,10.825,3.701,6.841,0.245,0.038,0.0,0.286,0.148,0.029,0.495,0.122,18.538,39.145,0.001
Afghanistan,2020,71417708544.0,11.606,4.116,7.275,0.154,0.061,0.0,0.297,0.163,0.033,0.463,0.116,18.633,37.833,0.001
Afghanistan,2021,56638849024.0,10.272,3.397,6.701,0.158,0.016,0.0,0.257,0.181,0.028,0.469,0.11,17.947,38.313,0.001
Afghanistan,2022,53303472128.0,10.558,3.531,6.862,0.148,0.016,0.0,0.26,0.198,0.028,0.464,0.108,18.355,39.485,0.001
Albania,2000,14736835584.0,3.025,0.07,2.84,0.022,0.094,0.0,0.955,0.205,0.012,1.123,0.378,3.857,6.754,0.0
Albania,2001,16103904256.0,3.221,0.081,3.125,0.015,0.0,0.0,1.023,0.2,0.013,1.11,0.369,4.063,6.906,0.0
Albania,2002,17037279232.0,3.748,0.084,3.638,0.026,0.0,0.0,1.196,0.22,0.014,1.104,0.415,4.638,7.369,0.0
Albania,2003,18171076608.0,4.303,0.084,3.891,0.026,0.302,0.0,1.38,0.237,0.016,1.116,0.422,5.178,8.418,0.0
Albania,2004,19346601984.0,4.177,0.084,3.759,0.033,0.3,0.0,1.348,0.216,0.015,1.1,0.407,5.075,7.493,0.0
Albania,2005,20562851840.0,4.261,0.073,3.91,0.022,0.256,0.0,1.385,0.207,0.014,1.104,0.414,5.176,9.992,0.0
Albania,2006,21889974272.0,3.911,0.073,3.54,0.022,0.276,0.0,1.282,0.179,0.013,1.102,0.405,4.855,8.009,0.0
Albania,2007,23259283456.0,3.949,0.073,3.375,0.033,0.468,0.0,1.306,0.17,0.013,1.072,0.402,4.885,10.685,0.0
